,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
77,Suga (Chopnotslop Remix),2,0BMqb67dBQU9lRnxKi7Nfy,Savage (Chopnotslop Remix),spotify:track:0BMqb67dBQU9lRnxKi7Nfy,0.0548,0.874,0.532,0.0,0.295,-7.528,0.365,135.193,0.687,27
78,Suga (Chopnotslop Remix),3,4RtdZkeeD7Iusi29uLXeeS,B.I.T.C.H. (Chopnotslop Remix),spotify:track:4RtdZkeeD7Iusi29uLXeeS,0.0344,0.806,0.542,0.0,0.297,-7.455,0.283,138.43,0.373,25
79,Suga (Chopnotslop Remix),4,61uF1IYUxQscHLIMNmovpo,Captain Hook (Chopnotslop Remix),spotify:track:61uF1IYUxQscHLIMNmovpo,0.0168,0.89,0.463,0.0,0.271,-8.778,0.339,138.53,0.184,25
80,Suga (Chopnotslop Remix),5,2ihbJqub09pxrkd82ndFM4,What I Need (Chopnotslop Remix),spotify:track:2ihbJqub09pxrkd82ndFM4,0.012,0.744,0.448,5.8e-05,0.516,-9.348,0.0741,138.163,0.28,24
81,Suga (Chopnotslop Remix),6,6Y7DDg9HWCfvYf4ndREeR5,Interlude (Chopnotslop Remix),spotify:track:6Y7DDg9HWCfvYf4ndREeR5,0.55,0.769,0.552,0.0,0.118,-7.103,0.202,89.625,0.921,24
82,Suga (Chopnotslop Remix),7,5Dkfj6OAlDWp068wkYxST9,Stop Playing (feat. Gunna) (Chopnotslop Remix),spotify:track:5Dkfj6OAlDWp068wkYxST9,0.18,0.66,0.484,0.0,0.211,-8.804,0.305,180.998,0.348,22
83,Suga (Chopnotslop Remix),8,2W342mCAmg9NfrUf2ZY4P4,Crying In The Car (Chopnotslop Remix),spotify:track:2W342mCAmg9NfrUf2ZY4P4,0.0414,0.657,0.635,0.0,0.24,-7.488,0.168,180.957,0.376,21
84,Suga (Chopnotslop Remix),9,4Ogxl8m609CIttTaETqqWZ,Rich (Chopnotslop Remix),spotify:track:4Ogxl8m609CIttTaETqqWZ,0.022,0.818,0.648,0.0,0.621,-8.849,0.404,180.801,0.798,23
85,Suga (Chopnotslop Remix),10,5kUdO8l42JEVNfNm6cFkvW,Hit My Phone (feat. Kehlani) (Chopnotslop Remix),spotify:track:5kUdO8l42JEVNfNm6cFkvW,0.216,0.616,0.573,0.0,0.911,-10.518,0.529,180.901,0.757,23
86,Suga (Chopnotslop Remix),11,3GfmC0n1zTcaJUEFZ9zeh1,Ain't Equal (Chopnotslop Remix),spotify:track:3GfmC0n1zTcaJUEFZ9zeh1,0.0284,0.827,0.612,0.0,0.255,-9.684,0.261,90.432,0.386,21
87,Suga,1,29HQG5FmpUH5nWwHDF163B,Ain't Equal,spotify:track:29HQG5FmpUH5nWwHDF163B,0.0497,0.848,0.847,0.0,0.118,-4.382,0.194,100.022,0.447,48
88,Suga,2,55CHeLEfn5iJ0IIkgaa4si,Savage,spotify:track:55CHeLEfn5iJ0IIkgaa4si,0.0252,0.843,0.741,0.0,0.096,-5.609,0.334,168.983,0.68,77
89,Suga,3,1E3VQQWFQAPJkXfYHjqWoI,Captain Hook,spotify:track:1E3VQQWFQAPJkXfYHjqWoI,0.0118,0.863,0.633,0.0,0.285,-5.002,0.287,163.991,0.545,73
90,Suga,4,6DxQb1QXBymgaMBZJujxV2,Hit My Phone (feat. Kehlani),spotify:track:6DxQb1QXBymgaMBZJujxV2,0.276,0.831,0.627,0.0,0.199,-6.614,0.176,108.042,0.76,56
91,Suga,5,0xDUqQ3gVuhhjZnK9zXHwG,B.I.T.C.H.,spotify:track:0xDUqQ3gVuhhjZnK9zXHwG,0.0851,0.742,0.731,0.0,0.131,-4.362,0.306,174.019,0.547,59
